employee_id,name,email,country,experience_years,primary_skill,salary_usd
42,Jennifer Turner,phernandez@holmes-benson.com,Angola,12,Vector Databases,158022
43,Dr. Angelica Adams,robinsonjames@gmail.com,Central African Republic,5,NLP,111438
44,Melissa Cook,biancamorrison@armstrong.com,Mali,3,Vector Databases,78941
45,Jesus Cole,alexisroberts@yahoo.com,Palau,9,ChromaDB,87369
46,Andrea Garcia,gregorysimpson@baldwin.com,Uganda,5,Vector Databases,86333
47,Veronica Robbins,ekey@yahoo.com,El Salvador,8,Deep Learning,111467
48,David Graves,angelasexton@simmons-perez.com,Vietnam,12,Vector Databases,32670
49,Devin Barton,ricedaniel@gmail.com,French Polynesia,13,Machine Learning,66507
50,Benjamin Horton,alexandria03@maldonado.com,Cook Islands,1,Machine Learning,145955
51,Mark Cook,rachelrivera@smith-wu.net,Saint Helena,15,NLP,49398
52,Richard Thomas,wcook@mercado.info,Togo,9,RAG,72002
53,David Wu,wpadilla@yahoo.com,Western Sahara,10,NLP,30772
54,Mr. Steven Watkins,jason36@hernandez.com,Zimbabwe,13,Machine Learning,35078
55,Lindsey Dean,michelle83@ellis.net,New Caledonia,3,LangChain,44184
56,Jason Franklin,yowens@hotmail.com,South Africa,9,NLP,136207
57,Scott Rivas,cherylrussell@dunn-aguilar.com,Guernsey,10,NLP,135258
58,Robert Adams,millerrobert@gmail.com,Germany,5,Machine Learning,96880
59,Eric Goodman,amandarichardson@yahoo.com,Belgium,0,Prompt Engineering,60516
60,Rebecca Rodriguez,sethwhite@gmail.com,Bhutan,10,Machine Learning,80066
61,Elizabeth Cantrell,terri04@gutierrez-garcia.info,Guinea-Bissau,1,RAG,131827
62,Amy Navarro,morgankimberly@gmail.com,Singapore,8,RAG,31315
63,Mr. James Day,howardbrian@hotmail.com,Slovakia (Slovak Republic),13,ChromaDB,136068
64,Jay Valdez,christensenthomas@yahoo.com,Djibouti,8,ChromaDB,160330
65,Amanda Daniel,jennifermartinez@nelson.com,Colombia,0,FAISS,90145
66,Roberto Butler,bailey51@hotmail.com,Australia,4,Python,114442
67,Gail Robinson,veronicasmith@yahoo.com,Kuwait,12,Deep Learning,41840
68,Bill Price,tracy66@collins.com,Moldova,4,RAG,123301
69,Tiffany Lawson,vevans@wagner-gallagher.com,Bolivia,9,LangChain,142528
70,Amy May,forbesann@wilson.com,Israel,8,Machine Learning,149768
71,Samuel Morales,barbarafletcher@murphy.biz,Cambodia,7,LangChain,155322
72,Yolanda Wilson,dixonjacob@hotmail.com,Saudi Arabia,4,RAG,39025
73,Mary Shepard,mooreseth@duncan-jones.com,Bulgaria,2,RAG,140961
74,Jasmine Schneider,suzanne40@duncan.com,Israel,2,NLP,152089
75,Sherry Taylor,jamesgardner@hotmail.com,Russian Federation,4,ChromaDB,126454
76,William Evans,sotoryan@gmail.com,Canada,12,Machine Learning,53845
77,Ethan Nguyen,tammy12@newman-montgomery.biz,Uzbekistan,15,NLP,149950
78,Jennifer Rivera,jennifer37@hotmail.com,Philippines,0,Python,146233
79,Daniel Harrell,powellsamuel@hotmail.com,Mauritius,2,LangChain,81841
80,Eric Barker,vmassey@miller.com,Solomon Islands,1,Deep Learning,81546
81,Joyce Sharp,kgraham@hotmail.com,Tuvalu,14,Prompt Engineering,129411
82,Michael Rodriguez Jr.,awilliams@allen.com,Sweden,1,Prompt Engineering,40449
83,Scott Sanchez,clarkanthony@smith.org,Vanuatu,9,Prompt Engineering,166103
84,Kimberly George,nelsonjennifer@mitchell.org,Ukraine,1,Deep Learning,104953
85,Bobby Warren,gjohnson@jackson-thomas.biz,Sri Lanka,14,NLP,134013
86,Julie Marshall,harrisscott@esparza.com,Burkina Faso,1,LangChain,86956
87,James Harris,dustincrane@mata.info,Pakistan,5,Vector Databases,174087
88,Lauren Chavez MD,charlesmichelle@bond-jackson.com,Gibraltar,6,Vector Databases,111232
89,Sandy Morales,hcox@kirby.info,Antigua and Barbuda,10,Python,179548
90,Crystal Singh,hannah93@buck.com,Liechtenstein,15,Machine Learning,165692
91,Benjamin Anderson,dorothytorres@hotmail.com,Tokelau,7,Python,50500
92,Sarah Roach,mariamoore@hunt.com,Macedonia,4,Python,43799
93,Harry Koch,duranrichard@yahoo.com,Falkland Islands (Malvinas),14,ChromaDB,129792
94,Jeffrey Love,swansonsteven@cruz-romero.biz,Nigeria,10,NLP,142325
95,Jose Williams,robert90@lawrence.biz,Qatar,2,RAG,102997
96,Katherine Harris,fpatterson@norman.com,Honduras,6,LangChain,123319
97,Scott Barton,sanchezbelinda@meyer-adams.biz,Belgium,14,Vector Databases,175389
98,Andrew Schultz,powellrichard@roberts-cunningham.com,Togo,7,Python,169568
99,Darren Fitzgerald,fischerhoward@yahoo.com,Timor-Leste,9,NLP,50898
100,Katie Martin,hancockmartha@yahoo.com,Honduras,1,Deep Learning,99032
101,April Armstrong,uwheeler@gmail.com,Hong Kong,6,Prompt Engineering,65610
102,Russell Ruiz,yolanda71@martinez.com,Denmark,12,Deep Learning,115835
103,Justin Singh,wanda33@hotmail.com,Syrian Arab Republic,9,Prompt Engineering,95742
104,Lori Knight,fowen@farrell.com,Cambodia,3,Prompt Engineering,107792
105,Calvin Johnson,elizabethhawkins@yahoo.com,Tunisia,2,Vector Databases,80206
106,Craig Anderson,qmeadows@yates.info,Israel,1,RAG,134957
107,Mr. Donald King MD,riddlemichael@murphy.com,Mexico,12,ChromaDB,67505
108,Steven Daniels,christina79@nelson.info,Aruba,8,ChromaDB,63258
109,Karen Hicks,adudley@gmail.com,Timor-Leste,13,FAISS,52865
110,Frank Mcgrath,annamorales@hernandez-smith.com,India,4,Python,40220
111,Stephanie Jones,michaelalvarado@morales-miller.com,Bosnia and Herzegovina,12,Deep Learning,95553
112,Eric Warren,qromero@hamilton-hodge.com,Saint Lucia,9,Machine Learning,72603
113,Brianna Johnson,christine33@hotmail.com,Mauritania,1,NLP,119848
114,Kristin Holland,seth87@gmail.com,Bahamas,7,RAG,142371
115,Ann Sims,joelopez@yahoo.com,Guyana,0,Prompt Engineering,69528
116,Kristine Lee,harrisjoseph@hotmail.com,Ecuador,9,Vector Databases,73365
117,Charles Gamble,powelldavid@savage.com,Tanzania,9,FAISS,131098
118,Susan Barnes,swalker@thompson-ruiz.net,Argentina,7,Prompt Engineering,61808
119,Michael Vega,wadeangela@hotmail.com,Indonesia,3,Machine Learning,30919
120,Christine Brown,leonardduarte@clark.com,Guyana,15,FAISS,165556
121,Juan Leach,zkirby@turner.biz,South Georgia and the South Sandwich Islands,8,LangChain,61725
122,Joseph Dalton,jennifercampbell@yahoo.com,Bolivia,14,ChromaDB,108541
123,Garrett Chandler,hannahschwartz@hammond.com,Norway,3,Deep Learning,115049
124,Brian Mendoza,jonesrichard@rogers.info,Lithuania,9,FAISS,84251
125,Brian Hurley,amyhansen@gmail.com,Colombia,10,FAISS,86263
126,John Taylor,valdezstephanie@gmail.com,Honduras,8,ChromaDB,61901
127,Casey Fritz,michelle74@cox.org,Panama,12,NLP,31532
128,Daniel Liu,sschroeder@holmes.com,Liberia,7,NLP,83145
129,Jeffrey Woodard MD,hilldavid@gmail.com,Puerto Rico,14,Machine Learning,117057
130,Kimberly Lambert,robinsonmichelle@yahoo.com,Dominica,11,FAISS,170684
131,Kristina Reyes,gutierrezcindy@hotmail.com,Mauritius,14,FAISS,139685
132,Mark Gomez,margaretferguson@rivas.net,Greenland,6,Deep Learning,53296
133,Todd Garcia,cindyvaldez@perez-pham.net,Isle of Man,4,Vector Databases,72317
134,Matthew Patterson,ramirezrebecca@hotmail.com,Cook Islands,7,Prompt Engineering,60868
135,Daniel Walter,kingsteven@brown.info,American Samoa,4,ChromaDB,56074
136,Latasha Rivers,christinemoore@hotmail.com,Korea,11,RAG,71034
137,Margaret Scott,alexandersparks@hotmail.com,Cayman Islands,7,Deep Learning,126172
138,Belinda Jenkins,kmartinez@knox.com,Cape Verde,7,NLP,65651
139,Chris Brady,iwalsh@gmail.com,Bolivia,4,ChromaDB,109464
140,Katie Chen,jacobsonkevin@hotmail.com,Bahamas,1,Prompt Engineering,108855
141,Chad Mcgee,djackson@hotmail.com,Kuwait,5,Vector Databases,92325
142,Brittany Anderson,tgraham@hotmail.com,Nauru,2,ChromaDB,91918
143,Katherine Arnold,gmoore@martin-rosario.org,Serbia,15,Deep Learning,149090
144,Steven Palmer,dale26@hahn.info,Austria,2,Vector Databases,146557
145,Scott Velazquez,carriebailey@wood.net,Pitcairn Islands,15,NLP,59148
146,Rachel Powell,joseph43@green.com,Turkmenistan,6,LangChain,130333
147,Mrs. Lori Silva DDS,stevensonpatrick@gmail.com,Montserrat,6,FAISS,142772
148,Jill Dennis,jacksonscott@yahoo.com,Cambodia,10,RAG,49051
149,Robert Russo,alexandrialuna@lopez.com,Grenada,11,LangChain,37988
150,Robert Johnson,lsherman@long.com,Lesotho,11,Machine Learning,155509
151,Diane Allen,courtneywalker@lee.com,Senegal,1,Machine Learning,119714
152,Danny Hernandez,longariana@gmail.com,Bermuda,15,FAISS,151885
153,James Preston,amberbaker@gmail.com,Bulgaria,6,RAG,49278
154,Scott Holmes,lisa00@hawkins.com,Holy See (Vatican City State),11,LangChain,63006
155,David Jones,ian81@gmail.com,Cote d'Ivoire,8,Machine Learning,87894
156,Christopher Jones,mckinneyscott@hayes.com,Antarctica (the territory South of 60 deg S),6,Machine Learning,145574
157,Douglas Holmes,christopher36@morrow.com,Cuba,7,NLP,141136
158,Debra Osborne,zoe17@jones.biz,Peru,0,Python,43567
159,Tammy Flores,adam19@payne.com,Aruba,11,NLP,143850
160,Steven Willis,maxwellgarcia@gmail.com,Lesotho,3,NLP,42761
161,Christie Swanson,uvega@yahoo.com,Northern Mariana Islands,11,ChromaDB,134695
162,William Vincent,joshuaking@gmail.com,Tanzania,11,Deep Learning,179244
163,Michael Hall,mackenzie45@mitchell.com,Christmas Island,14,LangChain,59860
164,Philip Mccarthy,tevans@gmail.com,France,12,FAISS,86890
165,John Jones,williamallen@meyer.com,Bahamas,13,Python,175462
166,Michelle Hawkins,vmartin@evans-scott.net,South Georgia and the South Sandwich Islands,2,FAISS,169250
167,Austin Kerr,catherineshepherd@yahoo.com,Micronesia,13,Prompt Engineering,40227
168,Anna Johnson,watkinsmark@yahoo.com,Guyana,10,ChromaDB,38824
169,Renee Edwards,zkey@juarez.com,Bahamas,1,ChromaDB,162576
170,Mary Manning,amandaruiz@morgan-walton.com,Mali,3,FAISS,109576
171,Thomas Maxwell,mcknightjacob@chavez.com,Germany,3,Prompt Engineering,44978
172,Dr. Mary Stewart,lisa88@yahoo.com,Libyan Arab Jamahiriya,14,RAG,168815
173,Heather Snyder,sabrina64@ortiz-hopkins.org,Lao People's Democratic Republic,2,ChromaDB,112769
174,Patricia Smith,williamserik@yahoo.com,Eritrea,13,Deep Learning,154717
175,Arthur Patterson,rthompson@hoffman.com,Suriname,12,Machine Learning,35572
176,Thomas Mccall,mariawright@beck-newton.com,Denmark,2,FAISS,77032
177,Paul Mack,zacharymartinez@hernandez-boyd.net,Puerto Rico,12,Prompt Engineering,80163
178,William Lam,ggarcia@cummings.com,South Georgia and the South Sandwich Islands,13,ChromaDB,46971
179,Kara Horton,raymond84@gmail.com,Niger,3,Prompt Engineering,114180
180,Michael Chavez,james55@stevens-jones.org,Singapore,11,Python,117615
181,Sean Mendoza,mreed@brown.org,Nicaragua,5,FAISS,84147
182,Roberto Lopez,aherrera@hotmail.com,Antigua and Barbuda,6,FAISS,89110
183,Mary Murphy,melissamorrison@silva.com,Sweden,5,LangChain,72350
184,Jessica Mason,peter34@schmitt.com,Latvia,3,Vector Databases,75154
185,Andrew Miller,kevin86@gmail.com,Jamaica,0,Deep Learning,126239
186,Victoria Price,muellerelizabeth@werner.com,Saint Pierre and Miquelon,7,Prompt Engineering,90187
187,Donna Yu,haroldbutler@yahoo.com,Macao,1,NLP,162860
188,Victor Richardson,nlopez@hotmail.com,Moldova,3,FAISS,114252
189,Cynthia Sandoval,sturner@gmail.com,France,14,NLP,153122
190,Jordan Hartman,hortonrobert@hotmail.com,Isle of Man,3,FAISS,131280
191,Daniel Delgado,robert85@villegas.com,United States of America,2,FAISS,149672
192,Antonio Jefferson,davidgonzalez@hotmail.com,Marshall Islands,8,RAG,161456
193,Jason Taylor,johnsondavid@hotmail.com,Spain,0,LangChain,101015
194,Thomas James,astein@bush-anderson.com,Russian Federation,2,Python,157759
195,Glenn Ford,jasonsantos@hotmail.com,Timor-Leste,5,Deep Learning,101552
196,Brent Sanchez,harriselizabeth@gmail.com,Marshall Islands,6,FAISS,93264
197,Matthew Nelson,olee@huffman-shaw.biz,Guadeloupe,0,Prompt Engineering,169999
198,Victoria Martinez,christiancarter@gmail.com,Iceland,3,NLP,65222
199,Katherine Daniels,fmeyer@gmail.com,Slovenia,10,Python,71105
200,Randall Thornton,obullock@gmail.com,Saint Kitts and Nevis,10,Machine Learning,110366
201,Autumn Dyer,patriciathomas@hotmail.com,Algeria,9,ChromaDB,67955
202,David Mitchell,maxwell28@ward.info,Gibraltar,9,RAG,49466
203,Anthony Murphy,cjohnson@yahoo.com,Vietnam,0,Machine Learning,84015
204,Jonathan Key,michael40@gmail.com,Palestinian Territory,2,RAG,54040
205,Zachary Garcia,schmidtwilliam@yahoo.com,Spain,3,FAISS,177592
206,Kimberly Rivas,jesse81@hotmail.com,Armenia,15,Deep Learning,46610
207,Shaun Trevino,thernandez@hotmail.com,Faroe Islands,11,Prompt Engineering,74879
208,Julian Velez,branchmartin@gmail.com,Gambia,4,LangChain,99729
209,Julie Hughes,vincentpoole@wilson-sanchez.org,Equatorial Guinea,15,FAISS,90140
210,Judith Russell,moorewilliam@thompson-rich.info,Cameroon,4,RAG,111347
211,Pedro White,mserrano@walker.net,Kenya,2,Deep Learning,129176
212,Kenneth Cole Jr.,saraskinner@yahoo.com,Nicaragua,5,Machine Learning,102259
213,Jeffrey Brown,pearsondean@yahoo.com,Argentina,13,Vector Databases,134696
214,Andrea Henderson,deborah06@yahoo.com,Kyrgyz Republic,5,Deep Learning,35060
215,Mary Howe,james27@hotmail.com,United States Virgin Islands,3,Deep Learning,168320
216,Wendy Silva,iolson@brown.org,Macao,0,FAISS,38794
217,Michael Gray,dclark@hall.net,Spain,12,ChromaDB,97194
218,Elizabeth Hampton,lambleslie@foster.com,Trinidad and Tobago,5,Python,123746
219,Timothy Duncan,robertrobbins@gardner.com,Ecuador,14,Vector Databases,39424
220,Marcia Smith,fsims@williams.com,Comoros,3,LangChain,94653
221,Monica Wade,ronald38@hotmail.com,Heard Island and McDonald Islands,8,FAISS,108608
222,William Cline,rileybryan@gmail.com,Papua New Guinea,15,Python,66002
223,Danielle Smith,bgonzalez@king.com,Nigeria,11,LangChain,151221
224,William Lucas,harrisonerin@cox.com,Cuba,13,NLP,157736
225,Timothy Wang,devinavila@garrett-holmes.biz,Tonga,12,RAG,131426
226,Kimberly Stevenson,heathervillanueva@martinez.com,Belize,7,ChromaDB,168597
227,Justin Horton,keithromero@gmail.com,Monaco,1,Python,32032
228,Scott Mendoza,jsanders@gmail.com,Zambia,10,Deep Learning,160893
229,Sandra Arnold,reedbrian@thompson.com,Bangladesh,11,NLP,35101
230,Nancy Harris,richardpham@hotmail.com,Timor-Leste,3,ChromaDB,140722
231,Brian Daniels,james56@taylor.org,Mauritius,2,Deep Learning,145583
232,Scott Castillo,linda26@hotmail.com,Djibouti,1,Vector Databases,142089
233,Victoria Williams,robert16@hughes.com,Ecuador,11,ChromaDB,140260
234,Rick Sutton,charleswong@hotmail.com,Malawi,3,NLP,82810
235,Alexander Armstrong,jmorris@jenkins.com,Bahrain,6,Python,43801
236,Matthew Weaver,thorntonlisa@yahoo.com,Brazil,12,RAG,146110
237,Stephanie Hopkins,codonnell@ortiz.com,Italy,5,Machine Learning,42605
238,Barbara Diaz,lisawatkins@johnson.com,Ghana,11,NLP,146405
239,Meghan Horton,ejones@lopez.com,Svalbard & Jan Mayen Islands,6,ChromaDB,129656
240,Willie Jones,xcarey@gmail.com,Saint Lucia,1,LangChain,129888
241,Helen Hunt,joanlee@hotmail.com,Saint Pierre and Miquelon,4,ChromaDB,48135
242,Michael Moon,george91@gmail.com,Pakistan,9,Deep Learning,74104
243,Joyce Pearson,deborah51@gmail.com,United States Minor Outlying Islands,1,NLP,106902
244,Kelly Glass,mitchell91@gmail.com,Cocos (Keeling) Islands,1,Machine Learning,47634
245,Kenneth Lindsey,dustinzimmerman@hotmail.com,French Guiana,3,LangChain,77146
246,David Schneider,pwilliams@johnson.com,Costa Rica,7,Deep Learning,74833
247,Madison Huffman,jonathan24@yahoo.com,Russian Federation,5,Prompt Engineering,150004
248,James Price,klinekenneth@hotmail.com,Germany,6,Machine Learning,92761
249,Pam Hutchinson,aguilarkayla@yahoo.com,Andorra,5,Deep Learning,108644
250,Keith Ali,jessica99@yahoo.com,Tokelau,9,LangChain,125540
251,Andrew Crane,kbailey@sherman.com,Paraguay,0,NLP,68208
252,Susan Franklin,weberdiane@hotmail.com,Sao Tome and Principe,0,Machine Learning,109328
253,Jessica Burns,christopher40@yahoo.com,Saint Martin,13,Python,128821
254,Joshua Curtis,ayersjason@hotmail.com,Martinique,12,FAISS,168745
255,Anthony Bradford,loribennett@brown.info,Ghana,5,Vector Databases,83075
256,Randall Hunt,hannahjones@nelson.net,Martinique,7,Vector Databases,93372
257,Amy Rogers MD,rodney98@stewart-evans.com,Botswana,9,Deep Learning,72732
258,Amy Jones,owilson@yahoo.com,Slovenia,7,Deep Learning,153872
259,Katie Fleming,shelleywillis@smith.com,Brunei Darussalam,15,RAG,168393
260,Jessica Smith,ycrawford@giles.com,Somalia,13,NLP,83218
261,Thomas Reid,marie72@yahoo.com,Brunei Darussalam,1,Vector Databases,80048
262,Nicholas Dawson,traymond@hotmail.com,China,8,Deep Learning,107870
263,Nicole Gilbert,gonzalezkevin@thompson.com,Antigua and Barbuda,14,Deep Learning,177494
264,Christopher Anthony,teresa88@gmail.com,Aruba,3,NLP,67673
265,Mrs. Beth Hudson,jennifermclean@turner-espinoza.com,Zimbabwe,7,Deep Learning,162272
266,Amy Vargas,grantsteven@hotmail.com,Grenada,14,Deep Learning,97765
267,Christopher Herrera,browncolleen@silva.com,Venezuela,6,Python,50924
268,Matthew Park,michaelmercado@yahoo.com,Wallis and Futuna,5,RAG,76525
269,Benjamin Miller,dthompson@hotmail.com,Chad,14,NLP,59039
270,Benjamin Whitehead,annafinley@hotmail.com,Taiwan,3,Python,169055
271,Wanda Paul,davidcasey@gmail.com,Falkland Islands (Malvinas),13,ChromaDB,74381
272,Kim Valentine,nicolebaker@carter.biz,France,8,Python,62517
273,Nicholas Hayes,susanjohnson@yahoo.com,Marshall Islands,0,Vector Databases,136913
274,Janice Levine,allenmichael@campbell.net,Sudan,9,Prompt Engineering,32603
275,David Tucker,ryan91@nguyen.com,Slovakia (Slovak Republic),4,Machine Learning,89192
276,Andrew Gutierrez,sharon89@hodges.com,Tanzania,5,ChromaDB,170775
277,Margaret Jones,mkennedy@simpson.info,United Arab Emirates,5,Prompt Engineering,164664
278,Jose Anderson,stephenescobar@smith-parrish.com,Kazakhstan,8,NLP,33922
279,Jamie Finley,colemanrobert@yahoo.com,Bulgaria,9,ChromaDB,163064
280,Alexandra Richards,brandon77@lindsey-lyons.com,Greece,4,Vector Databases,53959
281,Gregory Jones,kimberlybailey@allen.biz,Vietnam,5,Prompt Engineering,76177
282,Denise Stephens,vvasquez@gmail.com,Lebanon,2,FAISS,151163
283,Jane Stanley,garrisonandrew@caldwell.org,Norfolk Island,11,ChromaDB,62333
284,Dana Stewart,rhayes@yahoo.com,Rwanda,10,ChromaDB,63213
285,Kelly Tapia,david00@gardner.biz,Grenada,10,Deep Learning,53661
286,Jennifer Hardy,joymaldonado@hotmail.com,Malta,11,Vector Databases,38959
287,Jordan Blevins,christopher28@gmail.com,Iraq,2,FAISS,101614
288,Casey Sanchez,swright@yahoo.com,Jersey,7,NLP,155251
289,Lori Simmons,thomasfletcher@gmail.com,Costa Rica,6,Machine Learning,75190
290,Danielle Knapp,whiteamanda@marquez.net,Germany,3,Prompt Engineering,33714
291,Tyler Hale,hsimmons@walker-wyatt.org,Jamaica,0,Deep Learning,63510
292,Sherry Hamilton,mendozajacob@gmail.com,Spain,5,NLP,148010
293,Stacey Casey,berrylori@kaufman.com,Niue,14,NLP,90925
294,Robert Burnett,agrant@mason-vasquez.com,Philippines,14,Python,47539
295,Stephanie Nelson,mariawilliams@hotmail.com,Hong Kong,9,LangChain,130721
296,Heather Johnson,hoffmanlauren@hunter-roberts.com,Hong Kong,5,Python,168112
297,Jason Lopez,diazkeith@herman.com,Antigua and Barbuda,5,Vector Databases,40129
298,Julia Burch DDS,aflores@gmail.com,Faroe Islands,5,Python,122952
299,Aimee Cook,kelleysusan@gmail.com,Western Sahara,5,Prompt Engineering,76386
300,Matthew Doyle,bbarajas@fuller-cuevas.com,Bhutan,3,Deep Learning,85721
301,Jimmy Mitchell,rosskatherine@yahoo.com,Saint Lucia,11,Vector Databases,61723
302,Gregory Freeman,brianvang@rose.com,Israel,14,Deep Learning,66084
303,Jordan Dorsey,melinda84@melendez.info,Syrian Arab Republic,2,Python,138198
304,Hannah Anderson,randallclarke@luna-sanchez.com,Pakistan,7,RAG,103477
305,James Howell,jermainesmith@green-barker.com,Guam,0,ChromaDB,68804
306,Phillip White,tracywhite@reid.com,Liberia,0,LangChain,137758
307,Alicia Harrison,cynthiasmith@yahoo.com,Guernsey,6,Python,35450
308,Sergio Davis,danielleonard@nguyen.net,Latvia,9,Prompt Engineering,101744
309,Sarah Jones,brentmayo@kaiser.com,Oman,15,ChromaDB,75560
310,James White,michael85@soto-williamson.com,British Indian Ocean Territory (Chagos Archipelago),12,FAISS,118393
311,Teresa Moore,veronica33@brown.com,Namibia,4,Python,40633
312,Kimberly Kelly,christinaguerrero@hotmail.com,Kuwait,7,LangChain,76840
313,Aaron Macias,swilliams@gmail.com,Liberia,11,ChromaDB,129500
314,Jessica Shaw,moorechristine@hotmail.com,France,6,Python,125888
315,Heather Hunt,rogerscharles@hotmail.com,Benin,6,Machine Learning,156934
316,Justin Marshall,hsanchez@myers.com,Togo,8,Machine Learning,116980
317,Daniel Jackson,gmelton@perkins.info,Netherlands,10,Deep Learning,126393
318,Marilyn Brewer,robert24@greene.org,Saint Helena,6,NLP,87620
319,Shawn Hines,ashleypage@gmail.com,Slovenia,5,Prompt Engineering,158921
320,Mrs. Brittany Stewart,jonescourtney@yahoo.com,Uzbekistan,9,LangChain,51727
321,Olivia Lee,esmith@chang-flores.com,Austria,2,ChromaDB,61550
322,Ian Martinez,evansjessica@yahoo.com,Rwanda,13,Deep Learning,52791
323,Justin Ibarra,rcarr@hotmail.com,Jamaica,12,Deep Learning,68532
324,Eric Miranda,ericcarter@brown-lee.com,Moldova,11,Python,109762
325,Christopher Pope,vgarcia@sullivan.com,Saudi Arabia,6,LangChain,62671
326,Brian Odom,zhardy@gmail.com,Uruguay,6,Python,88113
327,Dale Nunez PhD,clarkemily@hotmail.com,Antigua and Barbuda,1,RAG,96883
328,Valerie Brown,benjamin23@yahoo.com,Estonia,1,LangChain,155302
329,Tanya Howe,brandy08@gmail.com,Antigua and Barbuda,8,LangChain,149194
330,Michael Haynes,cjohnson@davenport.biz,France,1,Prompt Engineering,100223
331,Jesus Hill,zhill@hotmail.com,Greece,1,RAG,80736
332,Christopher Leblanc,duranlee@sims.com,Western Sahara,3,LangChain,65206
333,Amy Hamilton,barnettdouglas@hernandez.com,Belize,3,Python,78249
334,Jeremy Berry,lopezmario@martin.net,Latvia,0,Prompt Engineering,111476
335,Jared Maxwell,emilyatkins@gmail.com,Falkland Islands (Malvinas),6,Deep Learning,76345
336,Karen Ingram,jeffreyyang@fernandez-wilkerson.com,Saint Martin,14,Deep Learning,112359
337,Samuel Anderson,codymoreno@davidson.com,India,1,Vector Databases,155903
338,Ryan Stevens,tuckerbernard@yahoo.com,India,12,Machine Learning,172203
339,Dennis Warner,matthewsampson@zamora.com,Dominican Republic,11,FAISS,163703
340,Cindy Wilcox,heidilester@yahoo.com,Saint Martin,8,LangChain,40942
341,Christopher Miller,rshepherd@yahoo.com,Romania,15,Machine Learning,114117
342,Dorothy Warren,jstevens@hickman.com,British Virgin Islands,12,FAISS,138474
343,Megan Russo,richardsonmark@hotmail.com,Mayotte,11,Vector Databases,149921
